Month,Hour,Generation
June,5,86.99851428571428
June,6,235.5525714285714
June,7,444.20628571428574
June,8,684.1403428571429
June,9,897.8879428571428
June,10,1047.1666285714286
June,11,1110.8870285714286
June,12,1133.6583428571428
June,13,1078.6286285714286
June,14,968.4855428571428
June,15,806.0388
June,16,602.4544000000001
June,17,381.39394285714286
June,18,189.27137142857143
June,19,39.15114285714286
June,20,0.0
June,21,0.0
June,22,0.0
June,23,0.0
June,24,0.0
March,1,0.0
March,2,0.0
March,3,0.0
March,4,0.0
March,5,0.0
March,6,10.839714285714287
March,7,163.94342857142857
March,8,430.6510857142857
March,9,662.9405714285715
March,10,826.2798285714285
March,11,943.7285714285714
March,12,989.8607428571429
March,13,959.9036571428572
March,14,813.9471428571428
March,15,627.3989714285714
March,16,419.97542857142855
March,17,147.54771428571428
March,18,0.0
March,19,0.0
March,20,0.0
March,21,0.0
March,22,0.0
March,23,0.0
March,24,0.0
May,1,0.0
May,2,0.0
May,3,0.0
May,4,0.5645714285714285
May,5,57.82422857142857
May,6,211.40417142857146
May,7,419.0648571428572
May,8,662.0122285714285
May,9,869.3737142857143
May,10,1001.8168571428572
May,11,1050.4158285714286
May,12,1082.0633714285714
May,13,1034.7777142857144
May,14,897.8110857142857
May,15,735.1370285714286
May,16,542.9218857142857
May,17,330.34188571428575
May,18,140.43617142857144
May,19,10.514285714285714
May,20,0.0
May,21,0.0
May,22,0.0
May,23,0.0
May,24,0.0
November,1,0.0
November,2,0.0
November,3,0.0
November,4,0.0
November,5,0.0
November,6,0.0
November,7,10.533485714285714
November,8,178.12491428571428
November,9,333.24102857142856
November,10,418.09479999999996
November,11,497.8164571428572
November,12,527.9834857142857
November,13,474.6816
November,14,369.85188571428574
November,15,197.12502857142854
November,16,15.340914285714286
November,17,0.0
November,18,0.0
November,19,0.0
November,20,0.0
November,21,0.0
November,22,0.0
November,23,0.0
November,24,0.0
October,1,0.0
October,2,0.0
October,3,0.0
October,4,0.0
October,5,0.0
October,6,0.08097142857142857
October,7,117.28577142857142
October,8,353.416
October,9,527.0821714285714
October,10,638.3929714285714
October,11,744.9124571428571
October,12,792.990457142857
October,13,720.7417142857144
October,14,575.0892
October,15,393.4475428571429
October,16,147.934
October,17,0.0
October,18,0.0
October,19,0.0
October,20,0.0
October,21,0.0
October,22,0.0
October,23,0.0
October,24,0.0
September,1,0.0
September,2,0.0
September,3,0.0
September,4,0.0
September,5,0.0
September,6,60.14257142857143
September,7,270.43262857142855
September,8,503.0410857142857
September,9,721.1181142857142
September,10,863.4264
September,11,952.7104
September,12,998.9673714285715
September,13,931.544342857143
September,14,794.4142857142857
September,15,600.0584571428572
September,16,398.5597142857143
September,17,134.48337142857142
September,18,0.0
September,19,0.0
September,20,0.0
September,21,0.0
September,22,0.0
September,23,0.0
September,24,0.0
