ID,Azimuth,Tilt,Month,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24
ID005,180,15.0,November,0.0,0.0,0.0,0.0,0.0,0.0,8.57,163.05,330.56,423.71,504.33,529.92,467.74,347.2,166.7,10.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID005,180,15.0,December,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.83,245.5,362.28,433.25,451.7,406.28,284.45,100.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID006,195,17.0,January,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.54,245.92,375.91,471.25,533.21,506.9,402.25,238.5,27.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID006,195,17.0,February,0.0,0.0,0.0,0.0,0.0,0.0,5.19,171.84,416.53,580.01,697.93,766.05,761.69,626.12,462.4,208.71,3.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID006,195,17.0,March,0.0,0.0,0.0,0.0,0.0,4.56,120.53,395.63,658.18,839.5,966.59,1021.48,1000.1,859.18,669.54,444.75,144.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID006,195,17.0,April,0.0,0.0,0.0,0.0,3.66,83.69,323.06,618.23,869.31,1022.17,1127.39,1174.59,1126.41,974.32,780.46,567.6,297.65,38.24,0.0,0.0,0.0,0.0,0.0,0.0
ID006,195,17.0,May,0.0,0.0,0.0,0.83,44.5,185.53,432.04,710.13,933.69,1071.4,1124.18,1164.14,1125.25,992.85,832.3,628.83,380.12,141.55,7.44,0.0,0.0,0.0,0.0,0.0
ID006,195,17.0,June,0.0,0.0,0.0,3.99,67.41,219.01,470.67,745.73,975.1,1128.97,1195.92,1226.08,1178.88,1077.23,918.9,705.66,449.91,205.07,33.71,0.0,0.0,0.0,0.0,0.0
ID006,195,17.0,July,0.0,0.0,0.0,0.0,47.42,182.79,428.69,706.49,946.71,1105.92,1181.1,1218.01,1171.42,1070.0,923.05,716.11,461.89,205.7,28.72,0.0,0.0,0.0,0.0,0.0
ID006,195,17.0,August,0.0,0.0,0.0,0.0,7.25,111.79,345.59,636.8,882.34,1054.81,1155.64,1185.1,1154.41,1031.34,857.39,629.78,363.21,98.19,1.57,0.0,0.0,0.0,0.0,0.0
ID006,195,17.0,September,0.0,0.0,0.0,0.0,0.0,37.73,231.38,494.56,736.51,890.77,988.42,1042.31,983.79,851.75,652.46,431.14,135.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID006,195,17.0,October,0.0,0.0,0.0,0.0,0.0,0.0,89.07,319.59,514.86,639.36,754.1,809.58,742.88,596.71,405.21,144.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
